cadena;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Carrefour;República Artesanal;Cerveza Lager República Artesanal en lata 473 ml;473 ml;1490.0;1490.0;0;
Carrefour;República Artesanal;Cerveza Amber República Artesanal en lata 473 ml;473 ml;1490.0;1490.0;0;
Carrefour;Bajo Cero;Cerveza blanca Quilmes Bajo cero en lata 473 ml;473 ml;1673.0;1254.75;25;2do al 50% Mi Crf Max 48 unidades Combinable QUILMES
Carrefour;Corona;Cerveza blanca sin alcohol Corona 0.0% 330 ml;330 ml;3600.0;2340.0;35;Exclusivo online 2do al 70% Iguales
Carrefour;Michelob Ultra;Cerveza light Michelob Ultra 473 ml;473 ml;3135.0;1528.31;51;2do al 50% Mi Crf Max 48 unidades Combinable MICHELOB
Carrefour;Stella Artois;Cerveza blanca Stella Artois 473 ml;473 ml;4163.0;3122.25;25;2do al 50% Mi Crf Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Stella Artois;Cerveza blanca Stella Artois 975 ml;975 ml;7054.0;5290.5;25;2do al 50% Mi Crf Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Quilmes;Cerveza blanca Quilmes sin alcohol 473 ml;473 ml;2150.0;1397.5;35;2do al 70% Mi Crf Max 48 unidades Combinable QUILMES
Carrefour;Corona;Cerveza rubia Corona 330 ml;330 ml;4705.0;3528.75;25;2do al 50% Mi Crf Max 48 unidades Combinable CORONA
Carrefour;Mecklenburger;Cerveza rubia Mecklenburger Pilsener 330 ml;330 ml;1290.0;890.0;31;
Carrefour;Andes Origen;Cerveza rubia Andes Origen 473 ml;473 ml;3418.0;2563.5;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
Carrefour;Quilmes;Cerveza negra Quilmes Stout 473 ml;473 ml;2692.0;2019.0;25;2do al 50% Mi Crf Max 48 unidades Combinable QUILMES
Carrefour;Budweiser;Cerveza rubia Budweiser 473 ml;473 ml;2974.0;1288.73;57;3x2 Mi CRF Max 48 unidades Combinable BUDWEISER
Carrefour;Stella Artois;Cerveza Pure Gold Stella Artois en lata 473 ml;473 ml;4279.0;3209.25;25;2do al 50% Mi Crf Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Corona;Cerveza sin alcohol 0.0 Corona en lata 473 ml;473 ml;3600.0;2340.0;35;Exclusivo online 2do al 70% Iguales
Carrefour;República Artesanal;Cerveza Honey República Artesanal en lata 473 ml;473 ml;1490.0;1490.0;0;
Carrefour;Brahma;Cerveza blanca Brahma en lata 710 ml;710 ml;4057.0;3042.75;25;2do al 50% Mi Crf Max 48 unidades Combinable BRAHMA
Carrefour;Quilmes;Cerveza blanca Qulmes 710 ml;710 ml;3832.0;2874.0;25;2do al 50% Mi Crf Max 48 unidades Combinable QUILMES
Carrefour;Quilmes;Cerveza blanca Quilmes 1890 retornable 1 lt;1000 ml;3895.0;2921.25;25;2do al 50% Mi Crf Max 48 unidades Combinable QUILMES
Carrefour;Stella Artois;Cerveza blanca Stella Artois 0.0 473 ml;473 ml;3400.0;2210.0;35;2do al 70% Mi Crf Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Quilmes;Cerveza blanca Quilmes Ipa 473 ml;473 ml;2692.0;2019.0;25;2do al 50% Mi Crf Max 48 unidades Combinable QUILMES
Carrefour;Patagonia;Cerveza Vera Ipa Patagonia 730 ml;730 ml;7296.0;3283.2;55;2do al 50% Mi Crf Max 48 unidades Combinable PATAGONIA
Carrefour;Corona;Cerveza rubia Corona 710 ml;710 ml;7745.0;5808.75;25;2do al 50% Mi Crf Max 48 unidades Combinable CORONA
Carrefour;Andes Origen;Cerveza rubia Andes Origen Ipa 473 ml;473 ml;3635.0;2726.25;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
Carrefour;Patagonia;Cerveza roja Patagonia Amber Lager 730 ml;730 ml;7296.0;3283.2;55;2do al 50% Mi Crf Max 48 unidades Combinable PATAGONIA
